"property_type","size_sqft","parking","elevator","floor","price_bdt","service_charge_bdt","year_built","building_registration_type","preferred_tenant","furnished","garage_size_sqft","front_road_size_ft","common_area_size_sqft","bedrooms","bathrooms","location","country"
"Residential Apartment","2000","1","1","3","80000","8500",2010,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","4500","2","1","6 & 7","220000","17000",2012,"Residential","Foreigner","Semi-Furnished","240","12","250","4","4","Gulshan","Bangladesh"
"Commercial Space","20000","5","3","11, 12, 13, 14 & 15","2900000","300000",2023,"Commercial","Corporate Office or MNC Office","Un-Furnished","600","50","1250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2250","1","2","7","100000","15000",2017,"Residential","Foreigner","Un-Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","4300","2","2","5","220000","25000",2010,"Residential","Foreigner","Un-Furnished","240","16","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","15000","3",NA,"0 & 4","1100000",NA,1997,"Residential","Foreigner","Un-Furnished","360","24","1400","9","9","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","3200","1","2","11","448000","32000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","50","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2000","1","2","4","80000","8000",2015,"Residential","Foreigner","Un-Furnished","120","24","180","3","3","Banani","Bangladesh"
"Residential Apartment","2300","1","2","9","130000","9500",2010,"Residential","Foreigner","Furnished","120","24","180","4","4","Banani","Bangladesh"
"Residential Apartment","2050","1","2","5","110000","12000",2023,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2300","1","2","8","135000","10500",2022,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Commercial Space","14500","6","1",NA,"900000",NA,2005,"Residential","Corporate Office or MNC Office","Un-Furnished","720","30","1350",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2400","1","1","3 & 5","110000",NA,2023,"Residential","Foreigner","Un-Furnished","120","16","220","3","3","Banani","Bangladesh"
"Commercial Space","3600","2","1","0","260000","20000",2000,"Residential","Corporate Office or MNC Office","Un-Furnished","240","40","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2100","1","2","5","110000","7000",2012,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","2430","1","2","7","130000","10000",2023,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2900","2","2","11","180000","15000",2023,"Residential","Foreigner","Un-Furnished","240","24","250","3","4","Gulshan","Bangladesh"
"Commercial Space","4888","2","3","3 ","782080","48880",2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","50","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","28000","38","3","9, 10, 11, 12, 13, 14 & 15","4480000","280000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","4560","50","2700",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","5000","3",NA,"Iividu&l House","450000",NA,1990,"Residential","Foreigner","Un-Furnished","360","24","450","5","5","Baridhara Diplomatic Zone","Bangladesh"
